time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,32500,32500,32400,32400,24200,GVR,CT
2024-11-04 09:16:00,32400,32400,32400,32400,300,GVR,CT
2024-11-04 09:17:00,32450,32450,32400,32400,600,GVR,CT
2024-11-04 09:18:00,32400,32450,32350,32450,3800,GVR,CT
2024-11-04 09:19:00,32450,32450,32450,32450,9200,GVR,CT
2024-11-04 09:20:00,32450,32450,32450,32450,500,GVR,CT
2024-11-04 09:21:00,32400,32400,32400,32400,900,GVR,CT
2024-11-04 09:22:00,32400,32400,32350,32350,1900,GVR,CT
2024-11-04 09:23:00,32299,32299,32299,32299,14900,GVR,CT
2024-11-04 09:24:00,32299,32299,32299,32299,100,GVR,CT
2024-11-04 09:25:00,32299,32299,32299,32299,700,GVR,CT
2024-11-04 09:26:00,32299,32299,32299,32299,100,GVR,CT
2024-11-04 09:27:00,32299,32299,32250,32299,6700,GVR,CT
2024-11-04 09:28:00,32299,32299,32250,32299,8700,GVR,CT
2024-11-04 09:29:00,32299,32299,32299,32299,500,GVR,CT
2024-11-04 09:30:00,32299,32299,32299,32299,2400,GVR,CT
2024-11-04 09:31:00,32250,32250,32250,32250,10400,GVR,CT
2024-11-04 09:32:00,32250,32250,32250,32250,1000,GVR,CT
2024-11-04 09:33:00,32250,32250,32250,32250,2000,GVR,CT
2024-11-04 09:35:00,32250,32250,32250,32250,11600,GVR,CT
2024-11-04 09:37:00,32250,32250,32250,32250,100,GVR,CT
2024-11-04 09:38:00,32200,32200,32200,32200,1500,GVR,CT
2024-11-04 09:39:00,32200,32200,32200,32200,6800,GVR,CT
2024-11-04 09:40:00,32200,32200,32200,32200,700,GVR,CT
2024-11-04 09:41:00,32150,32150,32150,32150,4300,GVR,CT
2024-11-04 09:42:00,32150,32150,32150,32150,200,GVR,CT
2024-11-04 09:43:00,32150,32150,32100,32150,12600,GVR,CT
2024-11-04 09:44:00,32100,32150,32100,32100,3600,GVR,CT
2024-11-04 09:45:00,32100,32100,32049,32049,23700,GVR,CT
2024-11-04 09:46:00,32000,32049,32000,32000,19600,GVR,CT
2024-11-04 09:47:00,32049,32049,32000,32049,4000,GVR,CT
2024-11-04 09:48:00,32049,32049,32000,32000,2100,GVR,CT
2024-11-04 09:49:00,32049,32049,32000,32000,1500,GVR,CT
2024-11-04 09:50:00,32000,32000,32000,32000,6400,GVR,CT
2024-11-04 09:51:00,32000,32000,31900,32000,22300,GVR,CT
2024-11-04 09:52:00,31900,31900,31900,31900,12100,GVR,CT
