time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,74500,74700,74500,74700,43300,MSN,CT
2024-11-04 09:16:00,74600,74700,74600,74600,10500,MSN,CT
2024-11-04 09:17:00,74600,74700,74600,74700,18900,MSN,CT
2024-11-04 09:18:00,74700,74700,74600,74600,21300,MSN,CT
2024-11-04 09:19:00,74600,74600,74500,74500,24000,MSN,CT
2024-11-04 09:20:00,74400,74400,74300,74300,16200,MSN,CT
2024-11-04 09:21:00,74300,74300,74000,74100,43400,MSN,CT
2024-11-04 09:22:00,74100,74300,74100,74300,30900,MSN,CT
2024-11-04 09:23:00,74300,74400,74300,74400,18000,MSN,CT
2024-11-04 09:24:00,74400,74400,74300,74300,12600,MSN,CT
2024-11-04 09:25:00,74400,74400,74300,74400,9500,MSN,CT
2024-11-04 09:26:00,74300,74300,74300,74300,5600,MSN,CT
2024-11-04 09:27:00,74400,74400,74300,74400,9000,MSN,CT
2024-11-04 09:28:00,74400,74500,74400,74500,7700,MSN,CT
2024-11-04 09:29:00,74500,74500,74400,74500,23500,MSN,CT
2024-11-04 09:30:00,74600,74600,74600,74600,100,MSN,CT
2024-11-04 09:31:00,74600,74600,74600,74600,16800,MSN,CT
2024-11-04 09:32:00,74600,74600,74600,74600,10300,MSN,CT
2024-11-04 09:33:00,74600,74700,74600,74600,5100,MSN,CT
2024-11-04 09:34:00,74600,74600,74600,74600,7300,MSN,CT
2024-11-04 09:35:00,74600,74600,74500,74500,18700,MSN,CT
2024-11-04 09:36:00,74500,74500,74500,74500,27500,MSN,CT
2024-11-04 09:37:00,74500,74500,74500,74500,2100,MSN,CT
2024-11-04 09:38:00,74500,74500,74400,74400,32500,MSN,CT
2024-11-04 09:39:00,74400,74500,74300,74300,4800,MSN,CT
2024-11-04 09:40:00,74300,74300,74300,74300,11500,MSN,CT
2024-11-04 09:41:00,74400,74400,74300,74300,17200,MSN,CT
2024-11-04 09:42:00,74300,74300,74200,74200,8100,MSN,CT
2024-11-04 09:43:00,74200,74200,74200,74200,16300,MSN,CT
2024-11-04 09:44:00,74200,74300,74200,74200,11000,MSN,CT
2024-11-04 09:45:00,74200,74200,74200,74200,3000,MSN,CT
2024-11-04 09:46:00,74200,74200,74100,74100,3100,MSN,CT
2024-11-04 09:47:00,74200,74200,74100,74100,9300,MSN,CT
2024-11-04 09:48:00,74200,74200,74100,74200,3000,MSN,CT
2024-11-04 09:49:00,74100,74200,74100,74100,6100,MSN,CT
2024-11-04 09:50:00,74200,74200,74100,74200,5900,MSN,CT
2024-11-04 09:51:00,74100,74200,74100,74200,8400,MSN,CT
2024-11-04 09:52:00,74100,74200,74100,74100,5100,MSN,CT
2024-11-04 09:53:00,74100,74100,74100,74100,11000,MSN,CT
2024-11-04 09:54:00,74100,74200,74100,74200,15400,MSN,CT
2024-11-04 09:55:00,74200,74200,74100,74100,24800,MSN,CT
2024-11-04 09:56:00,74100,74100,74000,74000,50000,MSN,CT
2024-11-04 09:57:00,74000,74100,74000,74100,10400,MSN,CT
2024-11-04 09:58:00,74100,74100,74000,74000,152700,MSN,CT
2024-11-04 09:59:00,74000,74100,74000,74000,11300,MSN,CT
2024-11-04 10:00:00,74000,74100,74000,74100,13700,MSN,CT
2024-11-04 10:01:00,74100,74100,74000,74100,1700,MSN,CT
2024-11-04 10:02:00,74000,74100,74000,74100,14300,MSN,CT
2024-11-04 10:03:00,74100,74100,74000,74100,1600,MSN,CT
2024-11-04 10:04:00,74000,74100,74000,74100,23400,MSN,CT
2024-11-04 10:05:00,74100,74100,74000,74000,9600,MSN,CT
2024-11-04 10:06:00,74000,74100,74000,74100,7500,MSN,CT
2024-11-04 10:07:00,74100,74100,74000,74000,42000,MSN,CT
2024-11-04 10:08:00,74000,74000,74000,74000,21200,MSN,CT
2024-11-04 10:09:00,74000,74100,74000,74000,5000,MSN,CT
2024-11-04 10:10:00,74000,74100,74000,74000,17900,MSN,CT
2024-11-04 10:11:00,74100,74100,74000,74000,16300,MSN,CT
2024-11-04 10:12:00,74100,74100,74000,74000,4400,MSN,CT
2024-11-04 10:13:00,74000,74100,74000,74100,21900,MSN,CT
2024-11-04 10:14:00,74100,74200,74000,74200,13700,MSN,CT
2024-11-04 10:15:00,74100,74200,74100,74200,5200,MSN,CT
2024-11-04 10:16:00,74200,74300,74200,74300,58900,MSN,CT
2024-11-04 10:17:00,74300,74300,74300,74300,10000,MSN,CT
2024-11-04 10:18:00,74300,74300,74200,74300,20400,MSN,CT
2024-11-04 10:19:00,74300,74400,74300,74300,15600,MSN,CT
2024-11-04 10:20:00,74300,74300,74300,74300,23400,MSN,CT
2024-11-04 10:21:00,74300,74300,74200,74300,2900,MSN,CT
2024-11-04 10:22:00,74300,74300,74300,74300,500,MSN,CT
2024-11-04 10:23:00,74300,74300,74300,74300,22600,MSN,CT
2024-11-04 10:24:00,74300,74400,74300,74300,300,MSN,CT
2024-11-04 10:25:00,74300,74300,74300,74300,7200,MSN,CT
2024-11-04 10:26:00,74300,74300,74300,74300,4200,MSN,CT
2024-11-04 10:28:00,74400,74400,74300,74300,900,MSN,CT
2024-11-04 10:29:00,74300,74400,74300,74400,500,MSN,CT
2024-11-04 10:30:00,74400,74400,74300,74300,13700,MSN,CT
2024-11-04 10:31:00,74300,74300,74300,74300,8300,MSN,CT
2024-11-04 10:32:00,74300,74300,74200,74300,104700,MSN,CT
2024-11-04 10:33:00,74300,74300,74300,74300,100,MSN,CT
2024-11-04 10:34:00,74300,74300,74200,74200,6100,MSN,CT
2024-11-04 10:35:00,74200,74200,74200,74200,8100,MSN,CT
2024-11-04 10:36:00,74200,74200,74100,74200,32600,MSN,CT
2024-11-04 10:37:00,74200,74200,74100,74100,9900,MSN,CT
2024-11-04 10:38:00,74200,74200,74200,74200,100,MSN,CT
2024-11-04 10:39:00,74200,74200,74200,74200,100,MSN,CT
2024-11-04 10:40:00,74200,74200,74200,74200,300,MSN,CT
2024-11-04 10:41:00,74200,74200,74200,74200,2600,MSN,CT
2024-11-04 10:42:00,74200,74200,74100,74200,8700,MSN,CT
2024-11-04 10:43:00,74100,74200,74100,74200,28400,MSN,CT
2024-11-04 10:44:00,74200,74200,74100,74100,4300,MSN,CT
2024-11-04 10:45:00,74100,74100,74100,74100,7100,MSN,CT
2024-11-04 10:46:00,74100,74200,74100,74200,5800,MSN,CT
2024-11-04 10:47:00,74200,74200,74200,74200,300,MSN,CT
2024-11-04 10:49:00,74100,74200,74100,74100,23800,MSN,CT
2024-11-04 10:50:00,74100,74100,74100,74100,2800,MSN,CT
2024-11-04 10:51:00,74100,74100,74100,74100,2800,MSN,CT
2024-11-04 10:52:00,74100,74100,74000,74000,1000,MSN,CT
2024-11-04 10:53:00,74100,74100,74000,74000,2900,MSN,CT
2024-11-04 10:54:00,74000,74100,74000,74000,11000,MSN,CT
2024-11-04 10:55:00,74000,74100,74000,74100,5700,MSN,CT
2024-11-04 10:56:00,74100,74100,74000,74100,34400,MSN,CT
2024-11-04 10:57:00,74100,74100,74100,74100,500,MSN,CT
2024-11-04 10:58:00,74100,74100,74000,74000,11800,MSN,CT
2024-11-04 11:00:00,74000,74100,74000,74000,67700,MSN,CT
2024-11-04 11:01:00,74000,74100,74000,74000,58900,MSN,CT
2024-11-04 11:02:00,74000,74100,74000,74000,32200,MSN,CT
2024-11-04 11:03:00,74000,74100,74000,74100,7600,MSN,CT
2024-11-04 11:04:00,74000,74000,74000,74000,1700,MSN,CT
2024-11-04 11:05:00,74000,74000,74000,74000,24700,MSN,CT
2024-11-04 11:06:00,74000,74100,74000,74000,7100,MSN,CT
2024-11-04 11:07:00,74000,74100,74000,74100,9800,MSN,CT
2024-11-04 11:08:00,74100,74200,74100,74200,46100,MSN,CT
2024-11-04 11:09:00,74100,74200,74100,74200,10500,MSN,CT
2024-11-04 11:10:00,74200,74200,74100,74100,10400,MSN,CT
2024-11-04 11:11:00,74100,74100,74100,74100,13300,MSN,CT
2024-11-04 11:12:00,74100,74200,74100,74200,12000,MSN,CT
2024-11-04 11:13:00,74200,74200,74200,74200,600,MSN,CT
2024-11-04 11:14:00,74200,74200,74200,74200,5300,MSN,CT
2024-11-04 11:15:00,74100,74100,74100,74100,4100,MSN,CT
2024-11-04 11:16:00,74100,74100,74100,74100,2300,MSN,CT
2024-11-04 11:17:00,74100,74100,74100,74100,2100,MSN,CT
2024-11-04 11:18:00,74100,74100,74100,74100,6600,MSN,CT
2024-11-04 11:19:00,74000,74100,74000,74000,23900,MSN,CT
2024-11-04 11:20:00,74000,74000,74000,74000,800,MSN,CT
2024-11-04 11:21:00,74000,74100,74000,74100,8900,MSN,CT
2024-11-04 11:22:00,74000,74100,74000,74000,30400,MSN,CT
2024-11-04 11:23:00,74000,74000,74000,74000,57700,MSN,CT
2024-11-04 11:24:00,74000,74000,73900,73900,11400,MSN,CT
2024-11-04 11:25:00,73900,73900,73900,73900,7400,MSN,CT
2024-11-04 11:26:00,74000,74000,73900,73900,111600,MSN,CT
2024-11-04 11:27:00,73900,73900,73800,73800,80900,MSN,CT
2024-11-04 11:28:00,73900,73900,73800,73900,33300,MSN,CT
2024-11-04 11:29:00,73900,73900,73800,73800,90500,MSN,CT
2024-11-04 13:00:00,73800,73900,73500,73700,534600,MSN,CT
2024-11-04 13:01:00,73600,73700,73500,73600,196900,MSN,CT
2024-11-04 13:02:00,73600,73700,73600,73600,90600,MSN,CT
2024-11-04 13:03:00,73600,73600,73500,73600,197200,MSN,CT
2024-11-04 13:04:00,73700,73700,73500,73600,97000,MSN,CT
2024-11-04 13:05:00,73600,73700,73600,73600,42400,MSN,CT
2024-11-04 13:06:00,73600,73700,73600,73600,56700,MSN,CT
2024-11-04 13:07:00,73600,73700,73600,73600,34700,MSN,CT
2024-11-04 13:08:00,73600,73600,73500,73500,219700,MSN,CT
2024-11-04 13:09:00,73500,73600,73500,73600,111300,MSN,CT
2024-11-04 13:10:00,73600,73600,73500,73500,41700,MSN,CT
2024-11-04 13:11:00,73500,73600,73500,73500,71900,MSN,CT
2024-11-04 13:12:00,73600,73600,73500,73600,76400,MSN,CT
2024-11-04 13:13:00,73600,73700,73600,73600,52900,MSN,CT
2024-11-04 13:14:00,73600,73700,73600,73700,46100,MSN,CT
2024-11-04 13:15:00,73700,73800,73600,73700,74500,MSN,CT
2024-11-04 13:16:00,73700,73800,73600,73700,27300,MSN,CT
2024-11-04 13:17:00,73700,73800,73600,73600,23100,MSN,CT
2024-11-04 13:18:00,73700,73700,73600,73600,19600,MSN,CT
2024-11-04 13:19:00,73700,73700,73600,73600,5300,MSN,CT
2024-11-04 13:20:00,73700,73700,73600,73700,19200,MSN,CT
2024-11-04 13:21:00,73600,73700,73600,73600,27600,MSN,CT
2024-11-04 13:22:00,73600,73700,73500,73600,106600,MSN,CT
2024-11-04 13:23:00,73600,73600,73500,73600,15900,MSN,CT
2024-11-04 13:24:00,73700,73700,73500,73500,13400,MSN,CT
2024-11-04 13:25:00,73600,73600,73500,73500,84500,MSN,CT
2024-11-04 13:26:00,73600,73600,73500,73600,21000,MSN,CT
2024-11-04 13:27:00,73600,73600,73500,73600,7600,MSN,CT
2024-11-04 13:28:00,73600,73600,73600,73600,3500,MSN,CT
2024-11-04 13:29:00,73600,73600,73500,73500,190100,MSN,CT
2024-11-04 13:30:00,73500,73500,73400,73500,57400,MSN,CT
2024-11-04 13:31:00,73500,73500,73400,73500,35300,MSN,CT
2024-11-04 13:32:00,73400,73500,73400,73500,26500,MSN,CT
2024-11-04 13:33:00,73500,73600,73400,73400,30500,MSN,CT
2024-11-04 13:34:00,73400,73500,73400,73500,40400,MSN,CT
2024-11-04 13:35:00,73500,73600,73400,73500,78600,MSN,CT
2024-11-04 13:36:00,73500,73500,73400,73400,25300,MSN,CT
2024-11-04 13:37:00,73400,73500,73400,73500,71200,MSN,CT
2024-11-04 13:38:00,73500,73500,73400,73500,31600,MSN,CT
2024-11-04 13:39:00,73500,73500,73400,73400,9500,MSN,CT
2024-11-04 13:40:00,73400,73400,73300,73400,220400,MSN,CT
2024-11-04 13:41:00,73400,73500,73400,73500,85700,MSN,CT
2024-11-04 13:42:00,73500,73500,73400,73500,28900,MSN,CT
2024-11-04 13:43:00,73500,73500,73500,73500,60800,MSN,CT
2024-11-04 13:44:00,73500,73600,73500,73500,36100,MSN,CT
2024-11-04 13:45:00,73500,73500,73400,73500,13800,MSN,CT
2024-11-04 13:46:00,73400,73500,73400,73500,65300,MSN,CT
2024-11-04 13:47:00,73500,73600,73500,73600,84100,MSN,CT
2024-11-04 13:48:00,73600,73700,73600,73600,18700,MSN,CT
2024-11-04 13:49:00,73600,73700,73600,73700,60600,MSN,CT
2024-11-04 13:50:00,73700,73700,73600,73700,31900,MSN,CT
2024-11-04 13:51:00,73600,73700,73600,73600,27000,MSN,CT
2024-11-04 13:52:00,73600,73700,73600,73700,44500,MSN,CT
2024-11-04 13:53:00,73700,73700,73600,73600,27600,MSN,CT
2024-11-04 13:54:00,73600,73700,73600,73600,20400,MSN,CT
2024-11-04 13:55:00,73700,73700,73600,73600,47000,MSN,CT
2024-11-04 13:56:00,73700,73700,73600,73600,20000,MSN,CT
