time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,65900,65900,65500,65600,210600,MWG,CT
2024-11-04 09:16:00,65600,65800,65600,65700,5800,MWG,CT
2024-11-04 09:17:00,65700,65700,65700,65700,12000,MWG,CT
2024-11-04 09:18:00,65700,65800,65700,65800,21100,MWG,CT
2024-11-04 09:19:00,65600,65700,65500,65500,43400,MWG,CT
2024-11-04 09:20:00,65500,65700,65500,65500,10900,MWG,CT
2024-11-04 09:21:00,65600,65700,65600,65600,700,MWG,CT
2024-11-04 09:22:00,65600,65600,65400,65500,86400,MWG,CT
2024-11-04 09:23:00,65300,65400,65300,65400,7600,MWG,CT
2024-11-04 09:24:00,65400,65400,65300,65400,20800,MWG,CT
2024-11-04 09:25:00,65400,65400,65300,65400,20400,MWG,CT
2024-11-04 09:26:00,65400,65400,65300,65300,12700,MWG,CT
2024-11-04 09:27:00,65400,65400,65300,65300,45100,MWG,CT
2024-11-04 09:28:00,65300,65300,65300,65300,20200,MWG,CT
2024-11-04 09:29:00,65300,65400,65300,65400,2000,MWG,CT
2024-11-04 09:30:00,65300,65300,65300,65300,100,MWG,CT
2024-11-04 09:31:00,65300,65500,65300,65500,36100,MWG,CT
2024-11-04 09:32:00,65500,65500,65500,65500,10600,MWG,CT
2024-11-04 09:33:00,65500,65500,65500,65500,6200,MWG,CT
2024-11-04 09:34:00,65500,65500,65400,65500,11600,MWG,CT
2024-11-04 09:35:00,65500,65500,65500,65500,10900,MWG,CT
2024-11-04 09:36:00,65500,65500,65500,65500,7300,MWG,CT
2024-11-04 09:37:00,65500,65500,65400,65500,46300,MWG,CT
2024-11-04 09:38:00,65500,65500,65500,65500,43600,MWG,CT
2024-11-04 09:39:00,65500,65500,65500,65500,6200,MWG,CT
2024-11-04 09:40:00,65500,65500,65500,65500,26300,MWG,CT
2024-11-04 09:41:00,65500,65500,65500,65500,59700,MWG,CT
2024-11-04 09:42:00,65400,65500,65400,65400,120000,MWG,CT
2024-11-04 09:43:00,65400,65400,65300,65400,108100,MWG,CT
2024-11-04 09:44:00,65400,65400,65300,65400,52700,MWG,CT
2024-11-04 09:45:00,65400,65400,65300,65300,63200,MWG,CT
2024-11-04 09:46:00,65400,65400,65300,65400,48800,MWG,CT
2024-11-04 09:47:00,65400,65400,65400,65400,80100,MWG,CT
2024-11-04 09:48:00,65400,65400,65300,65300,33900,MWG,CT
2024-11-04 09:49:00,65300,65300,65300,65300,55900,MWG,CT
2024-11-04 09:50:00,65300,65300,65200,65200,21500,MWG,CT
2024-11-04 09:51:00,65300,65300,65200,65200,20500,MWG,CT
2024-11-04 09:52:00,65200,65300,65200,65300,27800,MWG,CT
2024-11-04 09:53:00,65200,65300,65200,65300,30800,MWG,CT
2024-11-04 09:54:00,65300,65400,65300,65300,40300,MWG,CT
2024-11-04 09:55:00,65300,65400,65200,65400,17400,MWG,CT
2024-11-04 09:56:00,65300,65400,65300,65400,33100,MWG,CT
2024-11-04 09:57:00,65400,65400,65400,65400,12300,MWG,CT
2024-11-04 09:58:00,65400,65400,65400,65400,75700,MWG,CT
2024-11-04 09:59:00,65400,65400,65300,65400,67300,MWG,CT
2024-11-04 10:00:00,65400,65400,65300,65300,38900,MWG,CT
2024-11-04 10:01:00,65300,65300,65300,65300,46000,MWG,CT
2024-11-04 10:02:00,65200,65300,65200,65300,27800,MWG,CT
