time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,11700,11700,11650,11700,30600,POW,CT
2024-11-04 09:16:00,11700,11700,11700,11700,3500,POW,CT
2024-11-04 09:17:00,11700,11700,11650,11700,4800,POW,CT
2024-11-04 09:18:00,11700,11700,11650,11650,10600,POW,CT
2024-11-04 09:19:00,11650,11700,11650,11700,500,POW,CT
2024-11-04 09:20:00,11700,11700,11650,11700,17900,POW,CT
2024-11-04 09:21:00,11700,11700,11700,11700,700,POW,CT
2024-11-04 09:22:00,11650,11700,11650,11700,10400,POW,CT
2024-11-04 09:23:00,11700,11700,11650,11650,6400,POW,CT
2024-11-04 09:24:00,11650,11700,11650,11700,4200,POW,CT
2024-11-04 09:25:00,11700,11700,11650,11700,10300,POW,CT
2024-11-04 09:26:00,11700,11700,11650,11650,12900,POW,CT
2024-11-04 09:27:00,11650,11700,11650,11700,7400,POW,CT
2024-11-04 09:28:00,11700,11700,11700,11700,5900,POW,CT
2024-11-04 09:29:00,11700,11700,11650,11700,10200,POW,CT
2024-11-04 09:30:00,11700,11700,11700,11700,5000,POW,CT
2024-11-04 09:31:00,11700,11700,11700,11700,2300,POW,CT
2024-11-04 09:32:00,11700,11700,11650,11650,6200,POW,CT
2024-11-04 09:33:00,11700,11700,11650,11700,11400,POW,CT
2024-11-04 09:34:00,11700,11700,11700,11700,3800,POW,CT
2024-11-04 09:35:00,11650,11650,11650,11650,3300,POW,CT
2024-11-04 09:36:00,11650,11650,11650,11650,3000,POW,CT
2024-11-04 09:37:00,11700,11700,11700,11700,5200,POW,CT
2024-11-04 09:38:00,11700,11700,11700,11700,4000,POW,CT
2024-11-04 09:39:00,11700,11700,11700,11700,1000,POW,CT
2024-11-04 09:40:00,11700,11700,11650,11700,4400,POW,CT
2024-11-04 09:41:00,11700,11700,11700,11700,9000,POW,CT
2024-11-04 09:42:00,11700,11700,11700,11700,11200,POW,CT
2024-11-04 09:43:00,11700,11700,11700,11700,300,POW,CT
2024-11-04 09:44:00,11700,11700,11650,11650,17700,POW,CT
2024-11-04 09:45:00,11650,11650,11600,11650,55100,POW,CT
2024-11-04 09:46:00,11650,11650,11600,11600,13600,POW,CT
2024-11-04 09:48:00,11600,11600,11600,11600,6000,POW,CT
2024-11-04 09:49:00,11600,11650,11600,11650,10500,POW,CT
2024-11-04 09:50:00,11650,11650,11650,11650,8100,POW,CT
2024-11-04 09:51:00,11650,11650,11650,11650,5100,POW,CT
2024-11-04 09:52:00,11600,11600,11600,11600,12000,POW,CT
2024-11-04 09:53:00,11600,11600,11600,11600,241700,POW,CT
2024-11-04 09:54:00,11600,11600,11600,11600,2300,POW,CT
2024-11-04 09:55:00,11600,11650,11600,11650,18100,POW,CT
2024-11-04 09:56:00,11650,11650,11650,11650,2300,POW,CT
2024-11-04 09:57:00,11650,11650,11600,11600,5700,POW,CT
2024-11-04 09:58:00,11650,11650,11650,11650,5100,POW,CT
2024-11-04 09:59:00,11600,11650,11600,11650,300,POW,CT
2024-11-04 10:00:00,11650,11650,11650,11650,200,POW,CT
2024-11-04 10:01:00,11650,11650,11650,11650,1000,POW,CT
2024-11-04 10:02:00,11650,11650,11600,11600,49500,POW,CT
2024-11-04 10:03:00,11600,11600,11600,11600,1200,POW,CT
2024-11-04 10:04:00,11600,11600,11600,11600,400,POW,CT
2024-11-04 10:05:00,11600,11650,11600,11650,53000,POW,CT
2024-11-04 10:06:00,11650,11650,11550,11600,55900,POW,CT
2024-11-04 10:07:00,11550,11650,11550,11650,17000,POW,CT
2024-11-04 10:08:00,11650,11650,11600,11600,96200,POW,CT
2024-11-04 10:09:00,11600,11600,11550,11550,4700,POW,CT
2024-11-04 10:10:00,11550,11600,11550,11600,4400,POW,CT
2024-11-04 10:11:00,11600,11600,11600,11600,700,POW,CT
2024-11-04 10:12:00,11600,11600,11550,11600,5300,POW,CT
2024-11-04 10:13:00,11600,11600,11600,11600,10100,POW,CT
2024-11-04 10:14:00,11600,11600,11600,11600,2100,POW,CT
2024-11-04 10:15:00,11600,11600,11600,11600,11400,POW,CT
2024-11-04 10:16:00,11550,11600,11550,11600,1500,POW,CT
2024-11-04 10:17:00,11600,11600,11550,11600,5600,POW,CT
2024-11-04 10:18:00,11550,11550,11550,11550,130400,POW,CT
2024-11-04 10:19:00,11600,11600,11550,11550,51700,POW,CT
2024-11-04 10:21:00,11550,11550,11550,11550,5000,POW,CT
2024-11-04 10:22:00,11600,11600,11600,11600,46400,POW,CT
2024-11-04 10:23:00,11600,11600,11550,11550,101300,POW,CT
2024-11-04 10:24:00,11550,11600,11550,11600,12900,POW,CT
2024-11-04 10:25:00,11550,11550,11550,11550,46300,POW,CT
2024-11-04 10:26:00,11550,11550,11550,11550,13800,POW,CT
2024-11-04 10:28:00,11550,11550,11550,11550,29400,POW,CT
2024-11-04 10:29:00,11500,11550,11500,11550,6600,POW,CT
2024-11-04 10:30:00,11550,11550,11500,11550,700,POW,CT
2024-11-04 10:31:00,11550,11550,11500,11550,59200,POW,CT
2024-11-04 10:32:00,11550,11550,11550,11550,2700,POW,CT
2024-11-04 10:34:00,11550,11600,11550,11600,400,POW,CT
2024-11-04 10:35:00,11550,11550,11550,11550,5000,POW,CT
2024-11-04 10:36:00,11550,11550,11550,11550,800,POW,CT
2024-11-04 10:37:00,11600,11600,11550,11600,8500,POW,CT
2024-11-04 10:38:00,11600,11600,11600,11600,1000,POW,CT
2024-11-04 10:39:00,11600,11600,11600,11600,1900,POW,CT
2024-11-04 10:41:00,11600,11600,11600,11600,100,POW,CT
2024-11-04 10:43:00,11550,11550,11550,11550,100,POW,CT
2024-11-04 10:44:00,11600,11600,11550,11600,12900,POW,CT
2024-11-04 10:46:00,11600,11600,11600,11600,6000,POW,CT
2024-11-04 10:47:00,11600,11600,11600,11600,200,POW,CT
2024-11-04 10:48:00,11600,11600,11600,11600,3800,POW,CT
2024-11-04 10:50:00,11600,11600,11600,11600,2300,POW,CT
2024-11-04 10:51:00,11550,11550,11550,11550,5000,POW,CT
2024-11-04 10:52:00,11600,11600,11600,11600,200,POW,CT
2024-11-04 10:53:00,11600,11600,11600,11600,1600,POW,CT
2024-11-04 10:54:00,11600,11600,11600,11600,9000,POW,CT
2024-11-04 10:55:00,11600,11600,11550,11600,10600,POW,CT
2024-11-04 10:56:00,11600,11600,11600,11600,100,POW,CT
2024-11-04 10:57:00,11600,11600,11550,11550,400,POW,CT
2024-11-04 10:58:00,11550,11550,11550,11550,5000,POW,CT
2024-11-04 11:00:00,11550,11600,11550,11550,102500,POW,CT
2024-11-04 11:01:00,11550,11550,11550,11550,900,POW,CT
2024-11-04 11:02:00,11550,11600,11550,11550,19300,POW,CT
2024-11-04 11:03:00,11600,11600,11600,11600,5100,POW,CT
2024-11-04 11:04:00,11550,11600,11550,11600,6700,POW,CT
2024-11-04 11:05:00,11600,11600,11600,11600,1000,POW,CT
2024-11-04 11:06:00,11550,11550,11550,11550,1000,POW,CT
2024-11-04 11:08:00,11600,11600,11600,11600,17000,POW,CT
2024-11-04 11:09:00,11600,11600,11600,11600,10100,POW,CT
2024-11-04 11:10:00,11600,11600,11600,11600,47100,POW,CT
2024-11-04 11:11:00,11600,11600,11600,11600,34600,POW,CT
2024-11-04 11:13:00,11600,11600,11600,11600,3500,POW,CT
2024-11-04 11:14:00,11600,11650,11600,11650,11500,POW,CT
2024-11-04 11:18:00,11650,11650,11600,11600,70000,POW,CT
2024-11-04 11:19:00,11600,11600,11600,11600,4000,POW,CT
2024-11-04 11:20:00,11600,11600,11600,11600,100,POW,CT
2024-11-04 11:21:00,11600,11650,11600,11600,82800,POW,CT
2024-11-04 11:22:00,11600,11600,11600,11600,400,POW,CT
2024-11-04 11:23:00,11600,11600,11600,11600,2500,POW,CT
2024-11-04 11:24:00,11600,11600,11600,11600,48400,POW,CT
2024-11-04 11:25:00,11600,11600,11600,11600,4600,POW,CT
2024-11-04 11:26:00,11550,11600,11550,11600,5100,POW,CT
2024-11-04 11:27:00,11600,11600,11600,11600,100,POW,CT
2024-11-04 11:28:00,11600,11600,11600,11600,2300,POW,CT
2024-11-04 11:29:00,11600,11600,11600,11600,1500,POW,CT
2024-11-04 13:00:00,11600,11600,11550,11600,28900,POW,CT
2024-11-04 13:01:00,11550,11550,11550,11550,72100,POW,CT
2024-11-04 13:02:00,11550,11550,11500,11550,46800,POW,CT
2024-11-04 13:03:00,11550,11550,11550,11550,30100,POW,CT
2024-11-04 13:04:00,11550,11600,11550,11600,3100,POW,CT
2024-11-04 13:05:00,11600,11600,11550,11550,25300,POW,CT
2024-11-04 13:06:00,11550,11550,11550,11550,3300,POW,CT
2024-11-04 13:07:00,11550,11550,11550,11550,21000,POW,CT
2024-11-04 13:08:00,11550,11550,11550,11550,125600,POW,CT
2024-11-04 13:09:00,11550,11550,11550,11550,28600,POW,CT
2024-11-04 13:10:00,11550,11550,11550,11550,1000,POW,CT
2024-11-04 13:11:00,11550,11550,11550,11550,6600,POW,CT
2024-11-04 13:12:00,11550,11550,11550,11550,17900,POW,CT
2024-11-04 13:13:00,11550,11550,11500,11550,74500,POW,CT
2024-11-04 13:14:00,11550,11550,11550,11550,13600,POW,CT
2024-11-04 13:16:00,11550,11600,11550,11600,3000,POW,CT
2024-11-04 13:17:00,11600,11600,11600,11600,1100,POW,CT
2024-11-04 13:18:00,11600,11600,11600,11600,8200,POW,CT
2024-11-04 13:19:00,11600,11600,11550,11550,3000,POW,CT
2024-11-04 13:21:00,11550,11600,11550,11600,2100,POW,CT
2024-11-04 13:22:00,11600,11600,11600,11600,155200,POW,CT
2024-11-04 13:23:00,11600,11600,11600,11600,53200,POW,CT
2024-11-04 13:24:00,11600,11600,11600,11600,16300,POW,CT
2024-11-04 13:25:00,11600,11600,11550,11550,7700,POW,CT
2024-11-04 13:26:00,11600,11600,11600,11600,1000,POW,CT
2024-11-04 13:27:00,11600,11600,11600,11600,84000,POW,CT
2024-11-04 13:28:00,11600,11600,11600,11600,5300,POW,CT
2024-11-04 13:29:00,11600,11600,11600,11600,500,POW,CT
2024-11-04 13:30:00,11600,11600,11500,11500,150700,POW,CT
2024-11-04 13:31:00,11550,11550,11550,11550,11100,POW,CT
