time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,10550,10550,10500,10500,62200,SHB,NH
2024-11-04 09:16:00,10550,10550,10550,10550,600,SHB,NH
2024-11-04 09:17:00,10550,10550,10550,10550,2600,SHB,NH
2024-11-04 09:18:00,10550,10550,10500,10550,76000,SHB,NH
2024-11-04 09:19:00,10500,10550,10500,10550,2000,SHB,NH
2024-11-04 09:20:00,10550,10550,10500,10550,31000,SHB,NH
2024-11-04 09:21:00,10550,10550,10550,10550,4000,SHB,NH
2024-11-04 09:22:00,10550,10550,10500,10500,82200,SHB,NH
2024-11-04 09:23:00,10550,10550,10500,10550,1800,SHB,NH
2024-11-04 09:24:00,10550,10550,10550,10550,3400,SHB,NH
2024-11-04 09:25:00,10550,10550,10500,10500,37000,SHB,NH
2024-11-04 09:26:00,10500,10550,10500,10550,9600,SHB,NH
2024-11-04 09:27:00,10550,10550,10550,10550,25700,SHB,NH
2024-11-04 09:28:00,10550,10550,10500,10500,11700,SHB,NH
2024-11-04 09:29:00,10500,10550,10500,10550,1200,SHB,NH
2024-11-04 09:30:00,10550,10550,10550,10550,25400,SHB,NH
2024-11-04 09:31:00,10550,10550,10550,10550,14900,SHB,NH
2024-11-04 09:32:00,10550,10550,10550,10550,1800,SHB,NH
2024-11-04 09:33:00,10550,10550,10500,10550,4800,SHB,NH
2024-11-04 09:34:00,10550,10550,10550,10550,60400,SHB,NH
2024-11-04 09:35:00,10550,10550,10550,10550,11300,SHB,NH
2024-11-04 09:36:00,10550,10550,10550,10550,7200,SHB,NH
2024-11-04 09:37:00,10550,10550,10550,10550,9200,SHB,NH
2024-11-04 09:38:00,10500,10550,10500,10550,45300,SHB,NH
2024-11-04 09:39:00,10500,10550,10500,10550,13000,SHB,NH
2024-11-04 09:41:00,10550,10550,10500,10500,75200,SHB,NH
2024-11-04 09:42:00,10550,10550,10500,10500,105300,SHB,NH
2024-11-04 09:43:00,10500,10500,10500,10500,4000,SHB,NH
2024-11-04 09:44:00,10500,10550,10500,10550,1100,SHB,NH
2024-11-04 09:45:00,10550,10550,10500,10550,28500,SHB,NH
2024-11-04 09:46:00,10500,10500,10500,10500,53100,SHB,NH
2024-11-04 09:47:00,10500,10500,10500,10500,85700,SHB,NH
2024-11-04 09:48:00,10550,10550,10500,10500,8600,SHB,NH
