time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,16800,16800,16600,16600,114600,SSB,NH
2024-11-04 09:16:00,16550,16600,16550,16600,2800,SSB,NH
2024-11-04 09:17:00,16550,16550,16550,16550,2900,SSB,NH
2024-11-04 09:18:00,16550,16600,16500,16500,18400,SSB,NH
2024-11-04 09:19:00,16500,16600,16500,16600,23300,SSB,NH
2024-11-04 09:20:00,16550,16600,16550,16600,5500,SSB,NH
2024-11-04 09:22:00,16600,16600,16600,16600,19400,SSB,NH
2024-11-04 09:24:00,16600,16600,16600,16600,2700,SSB,NH
2024-11-04 09:25:00,16600,16600,16600,16600,9000,SSB,NH
2024-11-04 09:26:00,16600,16600,16600,16600,100,SSB,NH
2024-11-04 09:27:00,16600,16600,16600,16600,18700,SSB,NH
2024-11-04 09:28:00,16650,16700,16650,16700,7000,SSB,NH
2024-11-04 09:33:00,16650,16650,16650,16650,1700,SSB,NH
2024-11-04 09:35:00,16600,16600,16600,16600,1300,SSB,NH
2024-11-04 09:39:00,16550,16550,16550,16550,100,SSB,NH
2024-11-04 09:40:00,16550,16550,16550,16550,1500,SSB,NH
2024-11-04 09:42:00,16550,16550,16550,16550,1300,SSB,NH
2024-11-04 09:44:00,16550,16550,16550,16550,1000,SSB,NH
2024-11-04 09:45:00,16550,16550,16550,16550,600,SSB,NH
2024-11-04 09:46:00,16500,16550,16500,16500,38900,SSB,NH
2024-11-04 09:47:00,16600,16650,16550,16650,43100,SSB,NH
2024-11-04 09:48:00,16650,16650,16600,16600,22100,SSB,NH
2024-11-04 09:50:00,16600,16600,16600,16600,200,SSB,NH
2024-11-04 09:51:00,16550,16600,16550,16600,15600,SSB,NH
2024-11-04 09:52:00,16600,16650,16600,16650,37300,SSB,NH
2024-11-04 09:54:00,16650,16650,16650,16650,5300,SSB,NH
2024-11-04 09:55:00,16650,16700,16650,16650,19200,SSB,NH
2024-11-04 09:56:00,16600,16700,16600,16700,7000,SSB,NH
2024-11-04 09:57:00,16700,16700,16650,16700,11800,SSB,NH
2024-11-04 10:00:00,16700,16700,16700,16700,100,SSB,NH
2024-11-04 10:06:00,16600,16600,16600,16600,7700,SSB,NH
2024-11-04 10:07:00,16600,16600,16550,16550,11600,SSB,NH
2024-11-04 10:08:00,16550,16550,16550,16550,100,SSB,NH
2024-11-04 10:09:00,16550,16550,16500,16500,6400,SSB,NH
2024-11-04 10:10:00,16600,16700,16500,16500,11300,SSB,NH
2024-11-04 10:11:00,16700,16700,16600,16600,37400,SSB,NH
2024-11-04 10:12:00,16600,16600,16550,16550,51500,SSB,NH
2024-11-04 10:13:00,16550,16700,16500,16700,30600,SSB,NH
2024-11-04 10:14:00,16650,16650,16650,16650,2100,SSB,NH
2024-11-04 10:18:00,16600,16600,16600,16600,500,SSB,NH
2024-11-04 10:20:00,16600,16600,16600,16600,300,SSB,NH
2024-11-04 10:22:00,16650,16650,16650,16650,600,SSB,NH
2024-11-04 10:23:00,16650,16650,16650,16650,5000,SSB,NH
2024-11-04 10:25:00,16600,16600,16600,16600,13600,SSB,NH
2024-11-04 10:26:00,16600,16600,16600,16600,100,SSB,NH
2024-11-04 10:27:00,16550,16550,16550,16550,25100,SSB,NH
2024-11-04 10:28:00,16550,16550,16550,16550,68200,SSB,NH
2024-11-04 10:29:00,16550,16550,16550,16550,59200,SSB,NH
2024-11-04 10:30:00,16550,16550,16550,16550,44100,SSB,NH
2024-11-04 10:31:00,16550,16600,16550,16600,19200,SSB,NH
2024-11-04 10:34:00,16550,16550,16550,16550,400,SSB,NH
2024-11-04 10:38:00,16550,16550,16550,16550,4500,SSB,NH
2024-11-04 10:39:00,16550,16550,16550,16550,400,SSB,NH
2024-11-04 10:40:00,16550,16550,16550,16550,200,SSB,NH
2024-11-04 10:41:00,16550,16550,16550,16550,500,SSB,NH
2024-11-04 10:44:00,16550,16550,16550,16550,500,SSB,NH
2024-11-04 10:45:00,16550,16550,16550,16550,400,SSB,NH
2024-11-04 10:47:00,16600,16600,16600,16600,100,SSB,NH
