time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,35000,35000,35000,35000,35900,STB,NH
2024-11-04 09:16:00,35000,35000,35000,35000,32100,STB,NH
2024-11-04 09:17:00,34950,34950,34900,34900,64100,STB,NH
2024-11-04 09:18:00,34900,35000,34900,35000,61600,STB,NH
2024-11-04 09:19:00,35000,35000,34950,34950,33500,STB,NH
2024-11-04 09:20:00,34950,35000,34950,35000,6500,STB,NH
2024-11-04 09:21:00,34950,34950,34950,34950,15900,STB,NH
2024-11-04 09:22:00,34950,35000,34900,34950,30400,STB,NH
2024-11-04 09:23:00,34900,34900,34850,34850,64700,STB,NH
2024-11-04 09:24:00,34850,34900,34850,34850,104400,STB,NH
2024-11-04 09:25:00,34900,34900,34750,34750,181400,STB,NH
2024-11-04 09:26:00,34800,34800,34700,34700,222700,STB,NH
2024-11-04 09:27:00,34700,34800,34650,34750,140700,STB,NH
2024-11-04 09:28:00,34750,34800,34750,34750,27400,STB,NH
2024-11-04 09:29:00,34750,34850,34750,34850,87500,STB,NH
2024-11-04 09:30:00,34850,34900,34800,34800,85700,STB,NH
2024-11-04 09:31:00,34800,34850,34800,34850,6000,STB,NH
2024-11-04 09:32:00,34850,34850,34850,34850,2700,STB,NH
2024-11-04 09:33:00,34900,34950,34900,34950,19500,STB,NH
2024-11-04 09:34:00,34900,34900,34900,34900,10400,STB,NH
2024-11-04 09:35:00,34900,34950,34900,34950,2700,STB,NH
2024-11-04 09:36:00,34950,34950,34950,34950,1000,STB,NH
2024-11-04 09:37:00,34950,34950,34950,34950,30000,STB,NH
2024-11-04 09:38:00,34950,34950,34950,34950,100,STB,NH
2024-11-04 09:39:00,34950,34950,34900,34900,91100,STB,NH
2024-11-04 09:40:00,34900,34900,34900,34900,15200,STB,NH
2024-11-04 09:41:00,34900,34900,34800,34900,46000,STB,NH
2024-11-04 09:42:00,34850,34850,34800,34800,39600,STB,NH
2024-11-04 09:43:00,34800,34800,34800,34800,10600,STB,NH
2024-11-04 09:44:00,34800,34800,34800,34800,1300,STB,NH
2024-11-04 09:45:00,34800,34850,34800,34850,32100,STB,NH
2024-11-04 09:46:00,34800,34850,34800,34850,10100,STB,NH
2024-11-04 09:47:00,34800,34800,34800,34800,1600,STB,NH
2024-11-04 09:48:00,34800,34800,34800,34800,19700,STB,NH
2024-11-04 09:49:00,34800,34800,34800,34800,92500,STB,NH
2024-11-04 09:50:00,34750,34750,34750,34750,6900,STB,NH
2024-11-04 09:51:00,34750,34750,34750,34750,35700,STB,NH
2024-11-04 09:52:00,34750,34750,34750,34750,9700,STB,NH
2024-11-04 09:53:00,34750,34800,34700,34750,310000,STB,NH
2024-11-04 09:54:00,34750,34750,34700,34750,22200,STB,NH
2024-11-04 09:55:00,34800,34850,34750,34850,30200,STB,NH
2024-11-04 09:56:00,34800,34800,34800,34800,8300,STB,NH
2024-11-04 09:57:00,34800,34850,34750,34850,28700,STB,NH
2024-11-04 09:58:00,34800,34800,34800,34800,10200,STB,NH
2024-11-04 10:00:00,34800,34800,34750,34750,3100,STB,NH
2024-11-04 10:01:00,34750,34750,34750,34750,31500,STB,NH
2024-11-04 10:02:00,34750,34750,34750,34750,8100,STB,NH
2024-11-04 10:03:00,34750,34750,34700,34700,5200,STB,NH
2024-11-04 10:04:00,34700,34700,34700,34700,173900,STB,NH
2024-11-04 10:05:00,34750,34750,34650,34650,28800,STB,NH
2024-11-04 10:06:00,34650,34750,34650,34700,70200,STB,NH
2024-11-04 10:07:00,34750,34750,34700,34750,42800,STB,NH
2024-11-04 10:08:00,34750,34750,34700,34750,12000,STB,NH
2024-11-04 10:09:00,34700,34750,34700,34750,94900,STB,NH
2024-11-04 10:10:00,34700,34800,34700,34800,38700,STB,NH
2024-11-04 10:11:00,34800,34800,34750,34800,8800,STB,NH
2024-11-04 10:12:00,34800,34800,34800,34800,6400,STB,NH
2024-11-04 10:13:00,34800,34800,34750,34800,11600,STB,NH
2024-11-04 10:14:00,34800,34800,34750,34800,4700,STB,NH
2024-11-04 10:15:00,34800,34800,34750,34750,16600,STB,NH
2024-11-04 10:16:00,34800,34800,34750,34800,11200,STB,NH
2024-11-04 10:17:00,34750,34800,34750,34800,20200,STB,NH
2024-11-04 10:18:00,34750,34800,34750,34800,6700,STB,NH
2024-11-04 10:19:00,34800,34800,34800,34800,15300,STB,NH
2024-11-04 10:20:00,34800,34850,34800,34800,52600,STB,NH
2024-11-04 10:21:00,34800,34800,34800,34800,18000,STB,NH
2024-11-04 10:22:00,34800,34800,34800,34800,11900,STB,NH
2024-11-04 10:23:00,34800,34800,34750,34800,14500,STB,NH
2024-11-04 10:24:00,34800,34850,34800,34800,6000,STB,NH
2024-11-04 10:25:00,34850,34850,34850,34850,6000,STB,NH
2024-11-04 10:26:00,34850,34850,34850,34850,12600,STB,NH
2024-11-04 10:27:00,34850,34850,34800,34850,8300,STB,NH
2024-11-04 10:28:00,34850,34900,34850,34900,11000,STB,NH
2024-11-04 10:29:00,34900,34900,34850,34850,10500,STB,NH
2024-11-04 10:30:00,34850,34850,34850,34850,6000,STB,NH
2024-11-04 10:31:00,34850,34900,34850,34850,58800,STB,NH
2024-11-04 10:32:00,34850,34850,34850,34850,6400,STB,NH
2024-11-04 10:33:00,34850,34850,34850,34850,25200,STB,NH
2024-11-04 10:34:00,34850,34850,34850,34850,7000,STB,NH
2024-11-04 10:35:00,34850,34850,34800,34850,15000,STB,NH
2024-11-04 10:36:00,34900,34900,34850,34900,7000,STB,NH
2024-11-04 10:37:00,34900,34900,34900,34900,8400,STB,NH
2024-11-04 10:38:00,34900,34950,34900,34950,26800,STB,NH
2024-11-04 10:39:00,34950,34950,34900,34950,9400,STB,NH
2024-11-04 10:40:00,34900,34950,34900,34950,29400,STB,NH
2024-11-04 10:41:00,34950,34950,34950,34950,9300,STB,NH
2024-11-04 10:42:00,34900,34950,34900,34950,11500,STB,NH
2024-11-04 10:43:00,34950,34950,34900,34900,10300,STB,NH
2024-11-04 10:44:00,34900,34950,34900,34900,8500,STB,NH
2024-11-04 10:45:00,34900,34900,34850,34900,9200,STB,NH
2024-11-04 10:46:00,34900,34900,34850,34900,9300,STB,NH
2024-11-04 10:47:00,34900,34900,34900,34900,7000,STB,NH
2024-11-04 10:48:00,34900,34900,34850,34900,9500,STB,NH
2024-11-04 10:49:00,34900,34900,34900,34900,8400,STB,NH
2024-11-04 10:50:00,34900,34950,34850,34900,15400,STB,NH
2024-11-04 10:51:00,34850,34900,34850,34900,12600,STB,NH
2024-11-04 10:52:00,34900,34950,34850,34950,11000,STB,NH
2024-11-04 10:53:00,34900,34950,34850,34900,12800,STB,NH
2024-11-04 10:54:00,34900,34950,34850,34950,27600,STB,NH
2024-11-04 10:55:00,34950,34950,34900,34900,67500,STB,NH
2024-11-04 10:56:00,34950,34950,34950,34950,8200,STB,NH
2024-11-04 10:57:00,34950,34950,34950,34950,13300,STB,NH
2024-11-04 10:58:00,34950,35000,34950,35000,86200,STB,NH
2024-11-04 10:59:00,35000,35000,34950,35000,10700,STB,NH
2024-11-04 11:00:00,35000,35000,35000,35000,9300,STB,NH
2024-11-04 11:01:00,35000,35100,35000,35050,493600,STB,NH
2024-11-04 11:02:00,35050,35050,35050,35050,43500,STB,NH
2024-11-04 11:03:00,35050,35100,35050,35100,39700,STB,NH
2024-11-04 11:04:00,35050,35100,35050,35050,51500,STB,NH
2024-11-04 11:05:00,35100,35100,35050,35100,21400,STB,NH
2024-11-04 11:06:00,35100,35150,35050,35100,136200,STB,NH
2024-11-04 11:07:00,35150,35150,35150,35150,32800,STB,NH
2024-11-04 11:08:00,35150,35200,35150,35200,89600,STB,NH
2024-11-04 11:09:00,35200,35200,35150,35200,52100,STB,NH
2024-11-04 11:10:00,35200,35200,35200,35200,36100,STB,NH
2024-11-04 11:11:00,35200,35200,35150,35200,51200,STB,NH
2024-11-04 11:12:00,35200,35200,35150,35200,15200,STB,NH
2024-11-04 11:13:00,35200,35200,35200,35200,9100,STB,NH
2024-11-04 11:14:00,35200,35200,35150,35200,15300,STB,NH
2024-11-04 11:15:00,35200,35200,35200,35200,11600,STB,NH
2024-11-04 11:16:00,35200,35200,35150,35150,41500,STB,NH
2024-11-04 11:17:00,35150,35150,35100,35150,22800,STB,NH
2024-11-04 11:18:00,35150,35150,35050,35100,16100,STB,NH
2024-11-04 11:19:00,35100,35150,35050,35100,7900,STB,NH
2024-11-04 11:20:00,35100,35100,35050,35050,18000,STB,NH
2024-11-04 11:21:00,35100,35100,35000,35050,59500,STB,NH
2024-11-04 11:22:00,35000,35050,35000,35000,79900,STB,NH
2024-11-04 11:23:00,35050,35050,35000,35000,115600,STB,NH
2024-11-04 11:24:00,35000,35050,35000,35050,33200,STB,NH
2024-11-04 11:25:00,35050,35050,35000,35050,17300,STB,NH
2024-11-04 11:26:00,35050,35050,35000,35050,28300,STB,NH
2024-11-04 11:27:00,35050,35050,35000,35050,16100,STB,NH
2024-11-04 11:28:00,35050,35050,35050,35050,7300,STB,NH
2024-11-04 11:29:00,35050,35050,35050,35050,2000,STB,NH
2024-11-04 13:00:00,35000,35050,34900,34950,79900,STB,NH
2024-11-04 13:01:00,34950,35000,34950,35000,50200,STB,NH
2024-11-04 13:02:00,35000,35050,35000,35000,45500,STB,NH
2024-11-04 13:03:00,35000,35050,35000,35050,36700,STB,NH
2024-11-04 13:04:00,35050,35050,35000,35050,11800,STB,NH
2024-11-04 13:05:00,35000,35100,35000,35100,190500,STB,NH
2024-11-04 13:06:00,35100,35100,35050,35050,89400,STB,NH
2024-11-04 13:07:00,35100,35100,35000,35000,13400,STB,NH
2024-11-04 13:08:00,35050,35050,35050,35050,10900,STB,NH
2024-11-04 13:09:00,35000,35050,35000,35050,12000,STB,NH
2024-11-04 13:10:00,35000,35050,35000,35050,20700,STB,NH
2024-11-04 13:11:00,35050,35050,35050,35050,6400,STB,NH
2024-11-04 13:12:00,35050,35100,35000,35050,118200,STB,NH
2024-11-04 13:13:00,35100,35150,35050,35100,132200,STB,NH
2024-11-04 13:14:00,35100,35150,35100,35150,83600,STB,NH
2024-11-04 13:15:00,35150,35150,35100,35100,13600,STB,NH
2024-11-04 13:16:00,35150,35150,35100,35150,18300,STB,NH
2024-11-04 13:17:00,35150,35150,35100,35150,129800,STB,NH
2024-11-04 13:18:00,35200,35200,35150,35200,220600,STB,NH
2024-11-04 13:19:00,35250,35300,35200,35250,189900,STB,NH
2024-11-04 13:20:00,35300,35350,35250,35300,212300,STB,NH
2024-11-04 13:21:00,35300,35300,35300,35300,19900,STB,NH
2024-11-04 13:22:00,35300,35350,35300,35350,17300,STB,NH
2024-11-04 13:23:00,35350,35350,35250,35300,21100,STB,NH
2024-11-04 13:24:00,35300,35300,35200,35200,45500,STB,NH
2024-11-04 13:25:00,35200,35250,35200,35250,38900,STB,NH
2024-11-04 13:26:00,35250,35300,35250,35300,57000,STB,NH
2024-11-04 13:27:00,35300,35300,35200,35250,58100,STB,NH
2024-11-04 13:28:00,35250,35250,35200,35250,43600,STB,NH
