time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,41500,41500,41400,41500,82900,VHM,CT
2024-11-04 09:16:00,41450,41500,41350,41350,23000,VHM,CT
2024-11-04 09:17:00,41350,41350,41250,41300,29400,VHM,CT
2024-11-04 09:18:00,41300,41350,41250,41300,28700,VHM,CT
2024-11-04 09:19:00,41300,41350,41300,41350,17300,VHM,CT
2024-11-04 09:20:00,41300,41400,41300,41350,23700,VHM,CT
2024-11-04 09:21:00,41350,41350,41250,41250,91200,VHM,CT
2024-11-04 09:22:00,41300,41300,41250,41250,20200,VHM,CT
2024-11-04 09:23:00,41250,41350,41250,41350,24400,VHM,CT
2024-11-04 09:24:00,41350,41350,41350,41350,59000,VHM,CT
2024-11-04 09:25:00,41300,41400,41300,41300,10600,VHM,CT
2024-11-04 09:26:00,41300,41400,41300,41400,26200,VHM,CT
2024-11-04 09:27:00,41300,41400,41300,41350,42600,VHM,CT
2024-11-04 09:28:00,41350,41400,41350,41400,22000,VHM,CT
2024-11-04 09:29:00,41400,41400,41350,41400,17900,VHM,CT
2024-11-04 09:30:00,41400,41400,41350,41350,24800,VHM,CT
2024-11-04 09:31:00,41350,41350,41300,41300,39900,VHM,CT
2024-11-04 09:32:00,41300,41400,41300,41350,33900,VHM,CT
2024-11-04 09:33:00,41350,41400,41350,41400,11100,VHM,CT
2024-11-04 09:34:00,41350,41400,41350,41350,35900,VHM,CT
2024-11-04 09:35:00,41350,41400,41350,41350,5500,VHM,CT
2024-11-04 09:36:00,41350,41400,41350,41350,11900,VHM,CT
2024-11-04 09:37:00,41400,41400,41350,41350,16700,VHM,CT
2024-11-04 09:38:00,41350,41350,41300,41300,54300,VHM,CT
2024-11-04 09:39:00,41350,41400,41300,41300,18600,VHM,CT
2024-11-04 09:40:00,41300,41350,41300,41300,31600,VHM,CT
2024-11-04 09:41:00,41350,41400,41300,41400,119200,VHM,CT
2024-11-04 09:42:00,41400,41500,41350,41350,208900,VHM,CT
2024-11-04 09:43:00,41350,41500,41350,41450,405300,VHM,CT
2024-11-04 09:44:00,41400,41400,41300,41300,65800,VHM,CT
2024-11-04 09:45:00,41300,41350,41250,41250,71600,VHM,CT
2024-11-04 09:46:00,41250,41300,41150,41150,113800,VHM,CT
2024-11-04 09:47:00,41150,41200,41100,41100,32900,VHM,CT
2024-11-04 09:48:00,41100,41150,40950,41000,263700,VHM,CT
2024-11-04 09:49:00,41000,41000,40950,40950,34900,VHM,CT
2024-11-04 09:50:00,40950,41000,40950,40950,555000,VHM,CT
2024-11-04 09:51:00,41000,41000,40950,41000,552900,VHM,CT
2024-11-04 09:52:00,41000,41050,41000,41000,634500,VHM,CT
2024-11-04 09:53:00,41000,41050,41000,41000,129200,VHM,CT
2024-11-04 09:54:00,41000,41050,41000,41000,64300,VHM,CT
2024-11-04 09:55:00,41000,41050,40950,40950,70600,VHM,CT
2024-11-04 09:56:00,41000,41000,40950,40950,115100,VHM,CT
2024-11-04 09:57:00,40950,41000,40900,40950,27200,VHM,CT
2024-11-04 09:58:00,41000,41000,40950,40950,5500,VHM,CT
2024-11-04 09:59:00,40950,41000,40950,41000,49600,VHM,CT
2024-11-04 10:00:00,41000,41000,40950,40950,29400,VHM,CT
2024-11-04 10:01:00,40950,40950,40900,40950,59200,VHM,CT
2024-11-04 10:02:00,40950,40950,40850,40850,138000,VHM,CT
2024-11-04 10:03:00,40900,40900,40850,40850,54600,VHM,CT
2024-11-04 10:04:00,40850,40850,40800,40800,70200,VHM,CT
2024-11-04 10:05:00,40800,40850,40750,40750,147400,VHM,CT
