time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,41400,41400,41200,41400,9400,VIC,CT
2024-11-04 09:16:00,41400,41400,41400,41400,100,VIC,CT
2024-11-04 09:18:00,41300,41300,41150,41150,19600,VIC,CT
2024-11-04 09:19:00,41100,41100,41050,41100,3600,VIC,CT
2024-11-04 09:20:00,41100,41150,41050,41150,10800,VIC,CT
2024-11-04 09:21:00,41150,41150,41100,41150,1900,VIC,CT
2024-11-04 09:22:00,41150,41150,41150,41150,15500,VIC,CT
2024-11-04 09:23:00,41150,41300,41150,41300,25200,VIC,CT
2024-11-04 09:24:00,41200,41300,41200,41300,6500,VIC,CT
2024-11-04 09:25:00,41300,41300,41300,41300,5200,VIC,CT
2024-11-04 09:26:00,41300,41300,41300,41300,1700,VIC,CT
2024-11-04 09:27:00,41300,41400,41300,41400,9200,VIC,CT
2024-11-04 09:28:00,41400,41500,41400,41500,6700,VIC,CT
2024-11-04 09:29:00,41450,41450,41300,41300,200,VIC,CT
2024-11-04 09:30:00,41300,41450,41300,41450,1400,VIC,CT
2024-11-04 09:34:00,41400,41400,41300,41300,200,VIC,CT
2024-11-04 09:35:00,41300,41300,41250,41250,4500,VIC,CT
2024-11-04 09:36:00,41250,41250,41250,41250,100,VIC,CT
2024-11-04 09:37:00,41250,41250,41250,41250,2300,VIC,CT
2024-11-04 09:39:00,41250,41400,41250,41400,6700,VIC,CT
2024-11-04 09:41:00,41400,41400,41400,41400,300,VIC,CT
2024-11-04 09:42:00,41400,41400,41400,41400,100,VIC,CT
2024-11-04 09:44:00,41350,41400,41350,41400,1100,VIC,CT
2024-11-04 09:45:00,41350,41350,41300,41300,700,VIC,CT
2024-11-04 09:46:00,41250,41300,41250,41300,8400,VIC,CT
2024-11-04 09:47:00,41300,41300,41250,41300,13900,VIC,CT
2024-11-04 09:49:00,41250,41300,41250,41250,15000,VIC,CT
2024-11-04 09:50:00,41250,41250,41250,41250,100,VIC,CT
2024-11-04 09:51:00,41200,41250,41200,41200,14900,VIC,CT
2024-11-04 09:52:00,41250,41250,41250,41250,500,VIC,CT
2024-11-04 09:53:00,41200,41250,41200,41250,900,VIC,CT
2024-11-04 09:54:00,41250,41250,41150,41150,7200,VIC,CT
2024-11-04 09:55:00,41250,41250,41200,41250,15000,VIC,CT
2024-11-04 09:56:00,41250,41250,41250,41250,5000,VIC,CT
2024-11-04 09:57:00,41250,41250,41200,41250,13800,VIC,CT
2024-11-04 09:58:00,41200,41200,41200,41200,300,VIC,CT
2024-11-04 09:59:00,41200,41250,41200,41250,2200,VIC,CT
2024-11-04 10:00:00,41200,41250,41200,41250,5800,VIC,CT
2024-11-04 10:01:00,41250,41250,41250,41250,100,VIC,CT
2024-11-04 10:02:00,41200,41250,41200,41250,2700,VIC,CT
2024-11-04 10:03:00,41200,41250,41200,41250,4600,VIC,CT
2024-11-04 10:04:00,41200,41250,41200,41200,5300,VIC,CT
2024-11-04 10:06:00,41200,41200,41150,41200,21700,VIC,CT
2024-11-04 10:07:00,41150,41250,41150,41200,22200,VIC,CT
2024-11-04 10:08:00,41250,41250,41200,41250,2500,VIC,CT
2024-11-04 10:09:00,41200,41200,41200,41200,5900,VIC,CT
2024-11-04 10:10:00,41200,41250,41150,41250,69100,VIC,CT
2024-11-04 10:11:00,41250,41250,41250,41250,900,VIC,CT
2024-11-04 10:12:00,41200,41200,41200,41200,500,VIC,CT
2024-11-04 10:13:00,41150,41150,41150,41150,4400,VIC,CT
2024-11-04 10:14:00,41100,41150,41100,41150,3000,VIC,CT
2024-11-04 10:15:00,41150,41150,41150,41150,6100,VIC,CT
2024-11-04 10:16:00,41150,41200,41150,41200,8900,VIC,CT
2024-11-04 10:17:00,41200,41200,41150,41200,3600,VIC,CT
2024-11-04 10:18:00,41200,41200,41200,41200,300,VIC,CT
2024-11-04 10:19:00,41200,41250,41200,41250,4900,VIC,CT
2024-11-04 10:20:00,41250,41300,41200,41250,23800,VIC,CT
2024-11-04 10:21:00,41250,41300,41250,41300,700,VIC,CT
2024-11-04 10:22:00,41250,41300,41250,41300,1500,VIC,CT
2024-11-04 10:23:00,41250,41300,41250,41300,14700,VIC,CT
2024-11-04 10:25:00,41200,41200,41200,41200,2100,VIC,CT
2024-11-04 10:26:00,41200,41200,41150,41200,4500,VIC,CT
2024-11-04 10:27:00,41200,41200,41200,41200,500,VIC,CT
2024-11-04 10:28:00,41150,41150,41150,41150,700,VIC,CT
2024-11-04 10:29:00,41200,41200,41150,41200,600,VIC,CT
2024-11-04 10:32:00,41200,41200,41200,41200,200,VIC,CT
2024-11-04 10:34:00,41150,41200,41150,41200,2200,VIC,CT
2024-11-04 10:41:00,41200,41200,41200,41200,1100,VIC,CT
2024-11-04 10:42:00,41200,41200,41150,41150,1100,VIC,CT
2024-11-04 10:43:00,41150,41200,41150,41200,1600,VIC,CT
2024-11-04 10:45:00,41150,41200,41150,41200,3300,VIC,CT
2024-11-04 10:46:00,41200,41200,41200,41200,100,VIC,CT
2024-11-04 10:47:00,41200,41200,41150,41150,700,VIC,CT
2024-11-04 10:48:00,41150,41200,41150,41200,1100,VIC,CT
2024-11-04 10:51:00,41200,41200,41200,41200,600,VIC,CT
2024-11-04 10:52:00,41150,41200,41150,41200,4900,VIC,CT
2024-11-04 10:53:00,41150,41200,41150,41200,2400,VIC,CT
2024-11-04 10:54:00,41200,41200,41200,41200,19100,VIC,CT
2024-11-04 10:55:00,41200,41250,41200,41250,800,VIC,CT
2024-11-04 10:56:00,41250,41250,41250,41250,100,VIC,CT
2024-11-04 10:57:00,41250,41250,41250,41250,200,VIC,CT
2024-11-04 10:58:00,41200,41250,41200,41250,4500,VIC,CT
2024-11-04 10:59:00,41200,41200,41200,41200,500,VIC,CT
2024-11-04 11:00:00,41200,41250,41200,41250,1000,VIC,CT
2024-11-04 11:02:00,41200,41250,41200,41250,700,VIC,CT
2024-11-04 11:03:00,41200,41250,41200,41200,12400,VIC,CT
2024-11-04 11:04:00,41150,41200,41150,41200,2900,VIC,CT
2024-11-04 11:05:00,41150,41150,41150,41150,100,VIC,CT
2024-11-04 11:06:00,41150,41200,41150,41150,1500,VIC,CT
2024-11-04 11:07:00,41100,41200,41100,41200,8200,VIC,CT
2024-11-04 11:08:00,41200,41250,41200,41250,36300,VIC,CT
2024-11-04 11:09:00,41250,41250,41250,41250,8800,VIC,CT
2024-11-04 11:10:00,41250,41250,41250,41250,4600,VIC,CT
2024-11-04 11:11:00,41250,41250,41250,41250,400,VIC,CT
2024-11-04 11:12:00,41200,41200,41200,41200,100,VIC,CT
2024-11-04 11:14:00,41150,41200,41150,41200,1100,VIC,CT
2024-11-04 11:15:00,41200,41200,41150,41150,700,VIC,CT
2024-11-04 11:16:00,41200,41200,41150,41200,1200,VIC,CT
2024-11-04 11:17:00,41200,41200,41150,41200,2400,VIC,CT
2024-11-04 11:18:00,41150,41150,41150,41150,400,VIC,CT
2024-11-04 11:20:00,41200,41200,41200,41200,1100,VIC,CT
2024-11-04 11:21:00,41150,41200,41150,41200,1200,VIC,CT
2024-11-04 11:22:00,41150,41200,41150,41150,700,VIC,CT
2024-11-04 11:23:00,41200,41200,41150,41200,5300,VIC,CT
2024-11-04 11:24:00,41150,41200,41150,41200,400,VIC,CT
2024-11-04 11:25:00,41150,41150,41150,41150,400,VIC,CT
2024-11-04 11:26:00,41150,41200,41150,41200,1000,VIC,CT
2024-11-04 11:27:00,41150,41200,41150,41150,5300,VIC,CT
2024-11-04 11:28:00,41200,41200,41150,41200,3400,VIC,CT
2024-11-04 11:29:00,41150,41150,41150,41150,5000,VIC,CT
2024-11-04 13:00:00,41100,41150,41100,41150,33900,VIC,CT
2024-11-04 13:01:00,41150,41200,41100,41100,25300,VIC,CT
2024-11-04 13:02:00,41200,41200,41150,41150,19300,VIC,CT
2024-11-04 13:03:00,41200,41200,41150,41150,12300,VIC,CT
2024-11-04 13:04:00,41150,41150,41100,41100,700,VIC,CT
2024-11-04 13:05:00,41100,41150,41100,41150,400,VIC,CT
2024-11-04 13:06:00,41150,41150,41100,41150,6100,VIC,CT
2024-11-04 13:07:00,41100,41100,41100,41100,200,VIC,CT
2024-11-04 13:08:00,41100,41150,41100,41150,10300,VIC,CT
2024-11-04 13:09:00,41150,41150,41150,41150,1000,VIC,CT
2024-11-04 13:10:00,41150,41150,41100,41150,2600,VIC,CT
2024-11-04 13:11:00,41100,41150,41100,41150,6200,VIC,CT
2024-11-04 13:12:00,41150,41150,41100,41150,51300,VIC,CT
2024-11-04 13:13:00,41150,41150,41100,41150,6700,VIC,CT
2024-11-04 13:14:00,41150,41150,41150,41150,8300,VIC,CT
2024-11-04 13:15:00,41100,41200,41100,41200,600,VIC,CT
2024-11-04 13:16:00,41200,41200,41100,41100,6400,VIC,CT
2024-11-04 13:17:00,41150,41150,41150,41150,5600,VIC,CT
